Unnamed: 0.1,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,ram_gb,storage_gb,cpu_score,gpu_class,touchscreen,weight_kg
463,HP,15s-fq2672TU Laptop,6719808,60,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
464,HP,15s-fq5111TU Laptop,10558080,61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,2,0,2.0
465,HP,15s-dr3506TU Laptop,6911808,60,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,1.0,60,2,0,2.0
466,HP,15s-du3614TU Laptop,8008320,65,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,1.0,60,2,0,2.0
467,Dell,Vostro 5625 laptop,9617280,67,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,16.0,1920.0,1200.0,Windows 11 OS,1,8.0,512.0,75,3,0,2.0
468,HP,Pavilion 14s- fy1003AU Laptop,8810880,69,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,75,3,0,2.0
469,HP,15s-eq1559AU Laptop,5758080,69,3rd Gen AMD Athlon Silver 3050U,"Dual Core, 2 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1366.0,768.0,Windows 11 OS,1,8.0,512.0,50,3,0,2.0
470,HP,15s-FR2511TU Laptop,7233024,69,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
471,Dell,G15-5525 Gaming Laptop,16036416,77,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,85,4,0,2.0
472,Acer,Aspire 5 A515-57G Gaming Laptop,10008576,66,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,4,0,2.0
473,Acer,Aspire 3 A315-59 Laptop,7678080,69,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics ,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,2,0,2.0
474,Dell,Inspiron 3525 Laptop,10519680,66,5th Gen AMD Ryzen 7  5825U,"Octa Core, 16 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,85,3,0,2.0
475,Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,28241280,86,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5,2TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti,16.0,2560.0,1600.0,Windows 11 OS,1,32.0,2.0,85,4,0,2.0
476,HP,Pavilion 14-dv2041TU Laptop,13054080,61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,75,2,0,2.0
477,MSI,Thin GF63 11SC-853IN Gaming Laptop,9463680,70,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA Geforce GTX1650 Max Q,15.6,1920.0,1080.0,Windows 10 OS,2,8.0,512.0,75,3,0,2.0
478,Asus,TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,9982080,62,10th Gen Intel Core i5 10300H,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11  OS,1,8.0,512.0,75,4,0,2.0
479,HP,Pavilion 14-dv2015TU Laptop,15964608,64,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,1.0,85,2,0,2.0
480,HP,Pavilion 15s-FQ5009TU Laptop,10559808,69,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,2,0,2.0
481,Samsung,Galaxy Book2 15 Laptop,14398080,65,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,85,2,0,2.0
482,Lenovo,IdeaPad Gaming 3 82K200X3IN Laptop,12862080,67,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,85,4,0,2.0
483,HP,Pavilion 15-eg2009TU Laptop,11902080,62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,2,0,2.0
484,HP,Pavilion 14-ec1003AU Laptop,9902016,69,5th Gen AMD Ryzen 5 5625U ,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,3,0,2.0
485,Acer,Aspire 3 A315-58 Laptop UN.ADDSI.036 Laptop,6048000,69,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows OS,1,8.0,256.0,60,2,0,2.0
486,Acer,Extensa EX215-54 NX.EGJSI.00E Laptop,5568000,69,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",4GB,DDR4,256GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,4.0,256.0,60,2,0,2.0
487,HP,15s-eq2143au Laptop,6334080,69,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows OS,1,8.0,512.0,60,3,0,2.0
488,Lenovo,Ideapad 15ALC6 82KU017KIN Laptop,7102080,69,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,3,0,2.0
489,Apple,MacBook Pro 14 inch MKGQ3HN Laptop,46060800,69,Apple M1 Pro M1 Pro,10 Cores (8P + 2E),16GB,Unified,1TB,SSD,16-core GPU,14.2,3024.0,1964.0,Mac OS,1,16.0,1.0,50,1,0,2.0
490,Apple,MacBook Pro 16 inch MK1A3HN Laptop,59422080,60,Apple M1 Max M1 Max,10 Cores,32GB,Unified,1TB,SSD,32-core GPU,16.2,3456.0,2234.0,Mac OS,1,32.0,1.0,50,1,0,2.0
491,Dell,Inspiron 3511 Laptop,9598080,69,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 10  OS,1,8.0,512.0,75,2,0,2.0
492,Dell,Inspiron 3511 Laptop,7728000,69,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Integrated,15.6,1920.0,1080.0,Windows 10 OS,1,8.0,1.0,60,1,0,2.0
494,Asus,VivoBook F571LH-BQ435T Gaming Laptop,11518080,72,10th Gen Intel Core i7 10870H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 10 OS,1,16.0,512.0,85,4,0,2.0
495,Dell,Inspiron 3511 Laptop,11134080,65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,1TB,Hard-Disk,2GB NVIDIA GeForce MX350,15.6,1920.0,1080.0,Windows 10 OS,1,8.0,1.0,75,3,0,2.0
496,Realme,Book Slim Laptop,7103808,69,11th Gen Intel Core i3 1115G4 ,"Dual Core, 4 Threads",8GB,LPDDR4x,256GB,SSD,Intel UHD Graphics,14.0,1440.0,2160.0,Windows 10 OS,1,8.0,256.0,60,2,0,2.0
497,Xiaomi,RedmiBook Pro 15 Laptop,10366080,67,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,3200.0,2000.0,Windows 10  OS,1,16.0,512.0,75,3,0,2.0
498,Xiaomi,RedmiBook Pro 14 Laptop,9406080,62,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,2560.0,1600.0,Windows 10  OS,1,16.0,512.0,75,3,0,2.0
499,Vaio,SE14 NP14V3IN033P Laptop,7678080,69,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 10 OS,2,8.0,512.0,75,2,0,2.0
500,HP,15s-GR0012AU Laptop,7159680,61,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,AMD Radeon Vega 6,15.6,1920.0,1080.0,Windows 10 OS,1,8.0,1.0,60,3,0,2.0
